asset_id,host_name,ip_address,mac_address,last_assessed_for_vulnerabilities,asset_riskscore,vendor,name,version,vulnerability_id,nexpose_id,description,vulnerability_title,vulnerability_severity,severity_score,pci_severity_score,vulnerability_riskscore,cvss_score,cvss_vector,port,protocol_id
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24,413434.8474,Microsoft,Windows 7 Professional Edition,SP1,699,msft-cve-2019-0941,"

<p>A denial of service exists in Microsoft IIS Server when the optional request filtering feature improperly handles requests. An attacker who successfully exploited this vulnerability could perform a temporary denial of service against pages configured to use request filtering.
To exploit this vulnerability, an attacker could send a specially crafted request to a page utilizing request filtering.
The update addresses the vulnerability by changing the way certain requests are processed by the filter.
</p>
  ",Microsoft CVE-2019-0941: Microsoft IIS Server Denial of Service Vulnerability,Severe,5,2,149.9149933,7.5,AV:N/AC:L/Au:N/C:N/I:N/A:P,-1,-1
