asset_id,ip_address,port,protocol_id,title,vulnerability_id,nexpose_id,references,severity_score,pci_severity_score,cvss_score,cvss_vector,vendor,name,version
18,10.0.2.15,-1,-1,KB2607712: Fraudulent Digital Certificates Could Allow Spoofing,109384,windows-hotfix-kb2607712,<MSKB:2607712><MSKB:2616676>,10,5,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-007: Vulnerability in the OpenType Compact Font Format (CFF) Driver Could Allow Remote Code Execution (2485376),33507,windows-hotfix-ms11-007,<BID:46106><CVE:CVE-2011-0033><MS:MS11-007><MSKB:2485376><OVAL:11593><XF:64906>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-009: Vulnerability in JScript and VBScript Scripting Engines Could Allow Information Disclosure (2475792),33502,windows-hotfix-ms11-009,<BID:46139><CVE:CVE-2011-0031><MS:MS11-009><MSKB:2475792><OVAL:12313><XF:64919>,4,3,4.3,AV:N/AC:M/Au:N/C:P/I:N/A:N,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-015: Vulnerabilities in Windows Media Could Allow Remote Code Execution (2510030),33473,windows-hotfix-ms11-015,<BID:46680><BID:46682><CERT:TA11-067A><CVE:CVE-2011-0032><CVE:CVE-2011-0042><DISA_SEVERITY:Category II><DISA_VMSKEY:V0026088><IAVM:2011-A-0031><MS:MS11-015><MSKB:2510030><OVAL:12281><OVAL:12506>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-019: Vulnerabilities in SMB Client Could Allow Remote Code Execution (2511455),33481,windows-hotfix-ms11-019,<BID:46360><BID:47239><CERT-VN:323172><CERT:TA11-102A><CVE:CVE-2011-0654><CVE:CVE-2011-0660><MS:MS11-019><MSKB:2511455><OVAL:11995><OVAL:12637><XF:65376>,10,5,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-020: Vulnerability in SMB Server Could Allow Remote Code Execution (2508429),33448,windows-hotfix-ms11-020,<BID:47198><CERT:TA11-102A><CVE:CVE-2011-0661><DISA_SEVERITY:Category I><DISA_VMSKEY:V0026521><IAVM:2011-A-0050><MS:MS11-020><MSKB:2508429><OVAL:12076>,10,5,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-024: Vulnerabilities in Windows Fax Cover Page Editor Could Allow Remote Code Execution (2527308),33445,windows-hotfix-ms11-024,<CERT:TA11-102A><CVE:CVE-2010-3974><CVE:CVE-2010-4701><DISA_SEVERITY:Category II><DISA_VMSKEY:V0026509><IAVM:2011-B-0045><MS:MS11-024><MSKB:2527308><OVAL:12390><OVAL:12689>,8,5,7.6,AV:N/AC:H/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-026: Vulnerability in MHTML Could Allow Information Disclosure (2503658),33447,windows-hotfix-ms11-026,<BID:46055><CERT-VN:326549><CERT:TA11-102A><CVE:CVE-2011-0096><MS:MS11-026><MSKB:2503658><OVAL:6956><XF:65000>,4,3,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-027: Cumulative Security Update of ActiveX Kill Bits (2508272),33451,windows-hotfix-ms11-027,<BID:45546><BID:47197><CERT-VN:725596><CERT:TA10-159B><CVE:CVE-2010-0811><CVE:CVE-2010-3973><CVE:CVE-2011-1243><MS:MS10-034><MS:MS11-027><MSKB:2508272><OVAL:12475><OVAL:12524><OVAL:12534><OVAL:7492><XF:64250>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-028: Vulnerability in .NET Framework Could Allow Remote Code Execution (2484015),33452,windows-hotfix-ms11-028,<CERT:TA11-102A><CVE:CVE-2010-3958><MS:MS11-028><MSKB:2484015><OVAL:12406>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-030: Vulnerability in DNS Resolution Could Allow Remote Code Execution (2509553),33424,windows-hotfix-ms11-030,<BID:47242><CERT:TA11-102A><CVE:CVE-2011-0657><DISA_SEVERITY:Category I><DISA_VMSKEY:V0026514><IAVM:2011-A-0039><MS:MS11-030><MSKB:2509553><OVAL:11902>,8,5,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-031: Vulnerability in JScript and VBScript Scripting Engines Could Allow Remote Code Execution (2514666),33425,windows-hotfix-ms11-031,<BID:47249><CERT:TA11-102A><CVE:CVE-2011-0663><MS:MS11-031><MSKB:2514666><OVAL:12673>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-032: Vulnerability in the OpenType Compact Font Format (CFF) Driver Could Allow Remote Code Execution (2507618),33426,windows-hotfix-ms11-032,<CERT:TA11-102A><CVE:CVE-2011-0034><MS:MS11-032><MSKB:2507618><OVAL:11860>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-037: Vulnerability in MHTML Could Allow Information Disclosure (2544893),33423,windows-hotfix-ms11-037,<BID:48205><CVE:CVE-2011-1894><DISA_SEVERITY:Category II><DISA_VMSKEY:V0028617><IAVM:2011-B-0065><MS:MS11-037><MSKB:2544893><OVAL:12494>,4,3,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-039: Vulnerability in .NET Framework and Microsoft Silverlight Could Allow Remote Code Execution (2514842),33434,windows-hotfix-ms11-039,<CVE:CVE-2011-0664><MS:MS11-039><MSKB:2514842><OVAL:12105>,9,5,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-044: Vulnerability in .NET Framework Could Allow Remote Code Execution (2538814),33405,windows-hotfix-ms11-044,<CVE:CVE-2011-1271><DISA_SEVERITY:Category II><DISA_VMSKEY:V0028594><IAVM:2011-A-0082><MS:MS11-044><MSKB:2538814><OVAL:12686>,5,3,5.1,AV:N/AC:H/Au:N/C:P/I:P/A:P,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-046: Vulnerability in Ancillary Function Driver Could Allow Elevation of Privilege (2503665),33399,windows-hotfix-ms11-046,<CVE:CVE-2011-1249><MS:MS11-046><MSKB:2503665><OVAL:12731>,7,5,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-048: Vulnerability in SMB Server Could Allow Denial of Service (2536275),33401,windows-hotfix-ms11-048,<CVE:CVE-2011-1267><DISA_SEVERITY:Category I><DISA_VMSKEY:V0028598><IAVM:2011-A-0078><MS:MS11-048><MSKB:2536275><OVAL:12654><XF:67724>,8,2,7.8,AV:N/AC:L/Au:N/C:N/I:N/A:C,Microsoft,Windows 7 Professional Edition,SP1
18,10.0.2.15,-1,-1,MS11-053: Vulnerability in Bluetooth Stack Could Allow Remote Code Execution (2566220),33367,windows-hotfix-ms11-053,<CERT:TA11-193A><CVE:CVE-2011-1265><DISA_SEVERITY:Category I><DISA_VMSKEY:V0029384><IAVM:2011-A-0100><MS:MS11-053><MSKB:2566220><OVAL:12094>,8,5,8.8,AV:A/AC:L/Au:N/C:C/I:C/A:C,Microsoft,Windows 7 Professional Edition,SP1
